stage,rank,filter,bt_log_ability
valence,1,filter-juno,1.207073
valence,2,filter-lark,0.802769
valence,3,filter-hudson,0.615230
valence,4,filter-lofi,0.615230
valence,5,filter-gingham,0.584597
valence,6,filter-clarendon,-0.157713
valence,7,filter-sutro,-0.367713
valence,8,filter-1977,-0.583929
valence,9,filter-inkwell,-1.158530
valence,10,filter-moon,-1.557014
arousal,1,filter-juno,0.517778
arousal,2,filter-lofi,0.490041
arousal,3,filter-lark,0.462455
arousal,4,filter-sutro,0.219288
arousal,5,filter-hudson,0.219288
arousal,6,filter-1977,0.166101
arousal,7,filter-clarendon,-0.178496
arousal,8,filter-gingham,-0.178496
arousal,9,filter-inkwell,-0.827884
arousal,10,filter-moon,-0.890074
