stage,session_id,alignment_spearman,n_stage_trials
valence,82c3dff5-0f0d-4d23-88d7-53380af61fe6,0.957191,45
valence,1d840198-aa7a-49fd-b7bf-d0fbf78a4db0,0.803929,45
valence,b2053f8f-2c3e-4c49-85dc-b820a709970c,0.537078,45
valence,3df6b145-240a-47ea-bd3e-814ca4c794a3,0.703367,45
valence,07c73944-ef7c-4cd2-bc07-3be7713bb7b5,0.631914,45
valence,b3484693-275b-4e93-9ffb-cb555a58ebe4,0.898217,45
valence,f18db32e-7182-4d56-a75a-639c5f0b356b,0.549090,45
valence,08344ca2-cfb7-4ffc-85c7-f39c182a2e44,0.916962,45
valence,dd15ebde-6a27-4c01-9f18-34f1dea85355,0.498483,45
valence,72679340-0436-4583-8236-5e0368a21467,0.710207,45
valence,81b5f804-e142-449f-b0f1-cb5e207179a0,0.585195,45
valence,03830eaf-9d24-4d70-9da5-3c8f2140d7ac,0.753878,45
valence,3d39639a-3c6a-4fe6-ba3f-f8b09c9d2064,0.182684,45
valence,4ce460c2-2e6a-49dd-b2db-738125bf3a92,0.774750,45
valence,c8621bc1-2b38-4c7b-bb63-4b40224877c1,0.883452,45
valence,052089c0-be8b-49cb-92d3-e6ee1384969d,0.777837,45
arousal,82c3dff5-0f0d-4d23-88d7-53380af61fe6,0.362273,45
arousal,1d840198-aa7a-49fd-b7bf-d0fbf78a4db0,0.257989,45
arousal,b2053f8f-2c3e-4c49-85dc-b820a709970c,0.762059,45
arousal,3df6b145-240a-47ea-bd3e-814ca4c794a3,0.831808,45
arousal,07c73944-ef7c-4cd2-bc07-3be7713bb7b5,0.803376,45
arousal,b3484693-275b-4e93-9ffb-cb555a58ebe4,-0.400613,45
arousal,f18db32e-7182-4d56-a75a-639c5f0b356b,0.758413,45
arousal,08344ca2-cfb7-4ffc-85c7-f39c182a2e44,-0.320014,45
arousal,dd15ebde-6a27-4c01-9f18-34f1dea85355,0.398849,45
arousal,72679340-0436-4583-8236-5e0368a21467,0.264021,45
arousal,81b5f804-e142-449f-b0f1-cb5e207179a0,0.588968,45
arousal,03830eaf-9d24-4d70-9da5-3c8f2140d7ac,0.600691,45
arousal,3d39639a-3c6a-4fe6-ba3f-f8b09c9d2064,0.327185,45
arousal,4ce460c2-2e6a-49dd-b2db-738125bf3a92,0.882783,45
arousal,c8621bc1-2b38-4c7b-bb63-4b40224877c1,0.759317,45
arousal,052089c0-be8b-49cb-92d3-e6ee1384969d,0.665657,45
