metric,stage,entity,value,n
alignment_spearman,valence,subject_1,0.957191,45
alignment_spearman,valence,subject_8,0.916962,45
alignment_spearman,valence,subject_6,0.898217,45
alignment_spearman,valence,subject_15,0.883452,45
alignment_spearman,valence,subject_2,0.803929,45
alignment_spearman,valence,subject_16,0.777837,45
alignment_spearman,valence,subject_14,0.774750,45
alignment_spearman,valence,subject_12,0.753878,45
alignment_spearman,valence,subject_10,0.710207,45
alignment_spearman,valence,subject_4,0.703367,45
alignment_spearman,valence,subject_5,0.631914,45
alignment_spearman,valence,subject_11,0.585195,45
alignment_spearman,valence,subject_7,0.549090,45
alignment_spearman,valence,subject_3,0.537078,45
alignment_spearman,valence,subject_9,0.498483,45
alignment_spearman,valence,subject_13,0.182684,45
image_robustness_mean_spearman,valence,all_images,0.317273,
alignment_spearman,arousal,subject_14,0.882783,45
alignment_spearman,arousal,subject_4,0.831808,45
alignment_spearman,arousal,subject_5,0.803376,45
alignment_spearman,arousal,subject_3,0.762059,45
alignment_spearman,arousal,subject_15,0.759317,45
alignment_spearman,arousal,subject_7,0.758413,45
alignment_spearman,arousal,subject_16,0.665657,45
alignment_spearman,arousal,subject_12,0.600691,45
alignment_spearman,arousal,subject_11,0.588968,45
alignment_spearman,arousal,subject_9,0.398849,45
alignment_spearman,arousal,subject_1,0.362273,45
alignment_spearman,arousal,subject_13,0.327185,45
alignment_spearman,arousal,subject_10,0.264021,45
alignment_spearman,arousal,subject_2,0.257989,45
alignment_spearman,arousal,subject_8,-0.320014,45
alignment_spearman,arousal,subject_6,-0.400613,45
image_robustness_mean_spearman,arousal,all_images,0.329794,
left_choice_rate,all,all_sessions,0.495833,1440
