stage,img_id,spearman_vs_global,n_trials
valence,N088,-0.140398,32
valence,N043,0.571864,32
valence,N027,0.022438,32
valence,N014,0.352707,32
valence,N097,0.725499,32
valence,N095,0.523923,48
valence,N108,0.595835,32
valence,N085,0.448588,48
valence,N030,0.465710,32
valence,N040,-0.388927,32
valence,N022,0.162681,48
valence,N020,0.284220,32
valence,N017,0.136973,32
valence,N031,0.000000,32
valence,N023,0.407496,32
valence,N002,0.441283,32
valence,N096,0.518781,48
valence,N102,0.456241,32
valence,N093,0.492410,48
valence,N077,0.268131,32
arousal,N027,0.708142,32
arousal,N040,0.629022,48
arousal,N030,0.491297,48
arousal,N097,0.408540,48
arousal,N085,0.426324,32
arousal,N102,0.362980,32
arousal,N108,-0.217088,48
arousal,N020,-0.186984,32
arousal,N088,0.022438,32
arousal,N095,0.441283,32
arousal,N096,0.454726,48
arousal,N093,0.800292,32
arousal,N022,0.261778,32
arousal,N014,0.291069,32
arousal,N043,0.541045,32
arousal,N077,0.568440,32
arousal,N017,0.314133,32
arousal,N031,-0.140398,32
arousal,N023,0.336572,32
arousal,N002,0.082273,32
