session_id,stage_name,stage_index,stage_trial_index,stage_trial_count,trial_id,img_id,img_path,filter_left,filter_right,selected_filter,reaction_time_ms
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,1,45,16,N027,./images/N027.jpg,filter-sutro,filter-juno,filter-sutro,12385
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,2,45,34,N040,./images/N040.jpg,filter-lofi,filter-moon,filter-moon,6696
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,3,45,12,N030,./images/N030.jpg,filter-juno,filter-lark,filter-lark,7017
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,4,45,43,N097,./images/N097.jpg,filter-clarendon,filter-lark,filter-clarendon,12536
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,5,45,10,N085,./images/N085.jpg,filter-hudson,filter-juno,filter-hudson,35503
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,6,45,32,N102,./images/N102.jpg,filter-gingham,filter-lark,filter-lark,5437
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,7,45,6,N108,./images/N108.jpg,filter-inkwell,filter-gingham,filter-gingham,3189
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,8,45,18,N020,./images/N020.jpg,filter-hudson,filter-sutro,filter-hudson,1481
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,9,45,1,N020,./images/N020.jpg,filter-gingham,filter-hudson,filter-gingham,2857
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,10,45,20,N088,./images/N088.jpg,filter-inkwell,filter-lofi,filter-inkwell,2002
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,11,45,39,N088,./images/N088.jpg,filter-1977,filter-inkwell,filter-inkwell,2501
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,12,45,40,N102,./images/N102.jpg,filter-inkwell,filter-clarendon,filter-clarendon,1834
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,13,45,5,N108,./images/N108.jpg,filter-1977,filter-clarendon,filter-clarendon,1428
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,14,45,28,N085,./images/N085.jpg,filter-hudson,filter-lark,filter-lark,5940
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,15,45,23,N095,./images/N095.jpg,filter-lark,filter-1977,filter-lark,2635
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,16,45,22,N096,./images/N096.jpg,filter-lark,filter-lofi,filter-lark,2268
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,17,45,4,N093,./images/N093.jpg,filter-moon,filter-inkwell,filter-moon,8369
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,18,45,11,N040,./images/N040.jpg,filter-juno,filter-gingham,filter-juno,1571
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,19,45,31,N096,./images/N096.jpg,filter-hudson,filter-inkwell,filter-hudson,2828
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,20,45,3,N022,./images/N022.jpg,filter-lofi,filter-hudson,filter-lofi,1632
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,21,45,13,N014,./images/N014.jpg,filter-moon,filter-sutro,filter-moon,3450
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,22,45,7,N043,./images/N043.jpg,filter-hudson,filter-moon,filter-hudson,2337
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,23,45,45,N077,./images/N077.jpg,filter-clarendon,filter-moon,filter-clarendon,1072
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,24,45,29,N017,./images/N017.jpg,filter-sutro,filter-1977,filter-1977,3362
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,25,45,35,N017,./images/N017.jpg,filter-1977,filter-lofi,filter-lofi,17613
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,26,45,14,N030,./images/N030.jpg,filter-lofi,filter-juno,filter-juno,1017
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,27,45,21,N097,./images/N097.jpg,filter-clarendon,filter-sutro,filter-clarendon,946
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,28,45,36,N031,./images/N031.jpg,filter-sutro,filter-gingham,filter-gingham,1537
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,29,45,25,N095,./images/N095.jpg,filter-lark,filter-inkwell,filter-lark,671
82c3dff5-0f0d-4d23-88d7-53380af61fe6,arousal,1,30,45,37,N108,./images/N108.jpg,filter-sutro,filter-lark,filter-lark,817
