trial_id,img_id,img_path,filter_left,filter_right,prompt
1,N035,./images/N035.jpg,filter-clarendon,filter-lark,positive (pleasant)
2,N002,./images/N002.jpg,filter-hudson,filter-xpro-ii,positive (pleasant)
3,N088,./images/N088.jpg,filter-lark,filter-inkwell,positive (pleasant)
4,N017,./images/N017.jpg,filter-gingham,filter-juno,positive (pleasant)
5,N061,./images/N061.jpg,filter-sutro,filter-xpro-ii,positive (pleasant)
6,N002,./images/N002.jpg,filter-lark,filter-hudson,positive (pleasant)
7,N102,./images/N102.jpg,filter-inkwell,filter-juno,positive (pleasant)
8,N093,./images/N093.jpg,filter-1977,filter-sutro,positive (pleasant)
9,N022,./images/N022.jpg,filter-lofi,filter-1977,positive (pleasant)
10,N017,./images/N017.jpg,filter-1977,filter-juno,positive (pleasant)
11,N102,./images/N102.jpg,filter-gingham,filter-hudson,positive (pleasant)
12,N040,./images/N040.jpg,filter-lark,filter-lofi,positive (pleasant)
13,N061,./images/N061.jpg,filter-clarendon,filter-sutro,positive (pleasant)
14,N089,./images/N089.jpg,filter-inkwell,filter-1977,positive (pleasant)
15,N097,./images/N097.jpg,filter-gingham,filter-clarendon,positive (pleasant)
16,N096,./images/N096.jpg,filter-gingham,filter-1977,positive (pleasant)
17,N093,./images/N093.jpg,filter-xpro-ii,filter-gingham,positive (pleasant)
18,N102,./images/N102.jpg,filter-sutro,filter-gingham,positive (pleasant)
19,N077,./images/N077.jpg,filter-hudson,filter-clarendon,positive (pleasant)
20,N077,./images/N077.jpg,filter-juno,filter-lark,positive (pleasant)
21,N002,./images/N002.jpg,filter-clarendon,filter-1977,positive (pleasant)
22,N061,./images/N061.jpg,filter-sutro,filter-hudson,positive (pleasant)
23,N102,./images/N102.jpg,filter-clarendon,filter-juno,positive (pleasant)
24,N095,./images/N095.jpg,filter-lofi,filter-gingham,positive (pleasant)
25,N017,./images/N017.jpg,filter-hudson,filter-1977,positive (pleasant)
26,N085,./images/N085.jpg,filter-juno,filter-lofi,positive (pleasant)
27,N014,./images/N014.jpg,filter-inkwell,filter-hudson,positive (pleasant)
28,N077,./images/N077.jpg,filter-xpro-ii,filter-lofi,positive (pleasant)
29,N096,./images/N096.jpg,filter-lofi,filter-inkwell,positive (pleasant)
30,N014,./images/N014.jpg,filter-lark,filter-gingham,positive (pleasant)
31,N040,./images/N040.jpg,filter-xpro-ii,filter-juno,positive (pleasant)
32,N043,./images/N043.jpg,filter-inkwell,filter-clarendon,positive (pleasant)
33,N035,./images/N035.jpg,filter-lofi,filter-clarendon,positive (pleasant)
34,N030,./images/N030.jpg,filter-lofi,filter-sutro,positive (pleasant)
35,N108,./images/N108.jpg,filter-sutro,filter-lark,positive (pleasant)
36,N102,./images/N102.jpg,filter-inkwell,filter-xpro-ii,positive (pleasant)
37,N023,./images/N023.jpg,filter-lark,filter-xpro-ii,positive (pleasant)
38,N077,./images/N077.jpg,filter-1977,filter-lark,positive (pleasant)
39,N108,./images/N108.jpg,filter-juno,filter-hudson,positive (pleasant)
40,N095,./images/N095.jpg,filter-1977,filter-xpro-ii,positive (pleasant)
41,N095,./images/N095.jpg,filter-sutro,filter-inkwell,positive (pleasant)
42,N088,./images/N088.jpg,filter-hudson,filter-lofi,positive (pleasant)
43,N023,./images/N023.jpg,filter-juno,filter-sutro,positive (pleasant)
44,N040,./images/N040.jpg,filter-xpro-ii,filter-clarendon,positive (pleasant)
45,N108,./images/N108.jpg,filter-gingham,filter-inkwell,positive (pleasant)
